question_id,question,options,answer,answer_index,cot_content,category,src
3225,"What is the evidence that the chemical compounds of a cell arein a ""dynamic state""?","[""The cell's compounds are stable and remain in the cell for long periods of time without being degraded and replaced.""
 'The only exception to the dynamic state of the cell is its DNA molecules.'
 'The dynamic state is evidenced by the fact that cells retain all compounds throughout their lifespan, with no turnover.'
 ""The cell's compounds are replaced once they are used up, which occurs on a monthly basis.""
 '2.5 million red blood cells alone are produced and destroyed per second in the human body.'
 'Cellular compounds exhibit a dynamic state as they are exchanged with neighboring cells regularly.'
 'Enzymatic reactions within the cell are consistent and unchanging, demonstrating stability.'
 ""The cell's compounds are constantly changing - being broken down and replaced by newly synthesized compounds.""
 'Cellular compounds are recycled every few years, indicating a semi-static state.'
 ""The cell's compounds fluctuate seasonally, with higher turnover in summer and lower turnover in winter.""]",H,7,,biology,stemez-Biology
3144,"A newborn infant is examined by a doctor, who determines that the child has syphilis. Explain how the child con-tracted syphilis .","['The child contracted it from a medical procedure'
 'The child contracted it from another infant'
 'The child was infected due to a blood transfusion shortly after birth.'
 'The child contracted it through exposure to the bacteria in the hospital air.'
 'The child contracted it from an unclean environment'
 'The child contracted it from contact with contaminated food or water.'
 'The child contracted it through breastfeeding from an infected mother.'
 'The child contracted it from a caregiver through non-sexual skin-to-skin contact.'
 'The child inherited the bacteria genetically from the parents.'
 'An infected mother can transmit the organism by placental transfer to the fetus during the first four months of pregnancy.']",J,9,,biology,stemez-Biology
3272,Hybrids between some related species of plants are sterile because the parent plants had different chromosome numbers. Occasionally the chromosome number of such a hybrid plant doubles spontaneously. Which of the following best describes the descendants of those plants with the double chromosome number?,"['The descendants would have a reduced lifespan due to the increased chromosome number.'
 'The descendants would have a higher rate of mutation due to the increased chromosome number.'
 'The descendants would have a decreased ability to reproduce due to chromosomal abnormalities.'
 'The descendants would be genetically identical to the parent plant.'
 'The descendants would be at a selective advantage because of the increased ability to introgress.'
 'The plant with the double chromosome number would be more susceptible to disease, impacting the survival of its descendants.'
 'The plant with the double chromosome number would be genetically defective and have no descendants.'
 'The descendants would be reproductively successful because they could backcross with the parental species.'
 'The descendants would be reproductively isolated because of the increased chromosome number.'
 'The descendants would regain the ability to reproduce sexually because chromosomes could pair normally.']",J,9,,biology,ori_mmlu-college_biology
2819,"Cell motility, as viewed in a cultured fibroblast, encompasses all of the following EXCEPT",['adhesion plaques' 'vinculin' 'clathrin' 'lamellipodia'],C,2,,biology,ori_mmlu-college_biology
3230,What advantages domulticellularorganisms haveover single-celledorganisms?,"['Multicellular organisms have a shorter lifespan, which allows for quicker evolutionary adaptations.'
 'Multicellular organisms are always larger than single-celled organisms, providing them with better defense mechanisms.'
 'Multicellular organisms are less versatile than single-celled organisms.'
 'Multicellular organisms have specialized cells for a variety of functions, higher order of complexity, better adaptation to different environments including land, and potential for diversity.'
 'Multicellular organisms can reproduce faster than single-celled organisms.'
 'Multicellular organisms can move more rapidly and with greater coordination than single-celled organisms.'
 'Multicellular organisms can synthesize everything they need from a few simple nutrients.'
 'Multicellular organisms have a smaller surface area to volume ratio, which is advantageous for cellular processes.'
 'Multicellular organisms do not need to consume food as they produce their own energy through photosynthesis.'
 'Multicellular organisms can survive only in a watery environment.']",D,3,,biology,stemez-Biology
2997,Approximately what fraction of the human genome encodes proteins?,['50%' '5%' '60%' '25%' '90%' '10%' '80%' '75%' '2%' '35%'],I,8,,biology,ori_mmlu-college_biology
2846,"If a particular character in a certain species of animal were always transmitted from the mother to the offspring, but never from the father to the offspring, what could you conclude about its mode of inheritance?","['Mutation' 'Codominance' 'Sex-linked dominant inheritance'
 'Absence of certain genes in the father' 'Polygenic inheritance'
 'Environmental influence' 'Extrachromosomal inheritance'
 'Autosomal recessive inheritance' 'Inheritance from the father'
 'Incomplete dominance']",G,6,,biology,stemez-Biology
2924,Which of the following statements about the DNA in one of your liver cells is correct?,"['DNA in your liver cells contains genes unique to storing glycogen, while other cells do not contain those genes.'
 'The DNA in your liver cells is only used for the production of liver enzymes.'
 'The DNA in your liver cells is different from the DNA in your other cells.'
 'Your liver cells contain the same DNA as your red blood cells, but not your white blood cells.'
 'Most of the DNA in your liver cells will be transcribed but not translated.'
 'The DNA in your liver cells only contains genes for liver-specific functions.'
 'Your liver cells contain less DNA than your white blood cells.'
 'Most of the DNA in your liver cells will be transcribed in the nucleus and translated in the cytoplasm.'
 'DNA in your liver cells is primarily transcribed in the cytoplasm and translated in the nucleus.'
 'Your liver cells contain the same DNA as your white blood cells.']",J,9,,biology,ori_mmlu-high_school_biology
3238,"What is meant by a gene pool, balanced polymorphism, and genetic load?","['Gene pool is the total number of organisms in a population; balanced polymorphism is a genetic imbalance; genetic load is the genetic weight of an organism.'
 'Gene pool refers to the physical pool where genes are stored; balanced polymorphism is the imbalance of allele frequencies; genetic load is the amount of genetic information carried by an organism.'
 'Gene pool is the sum total of genes in a population; balanced polymorphism is when different forms of a genotype are maintained in equilibrium over time; genetic load is the reduction in average fitness due to presence of suboptimal forms.'
 'Gene pool is the total genetic information in the gametes of a population; balanced polymorphism is the consistent occurrence of a single allele; genetic load is the genetic diversity within a species.'
 'Gene pool is the collection of genes in a single organism; balanced polymorphism is the variation of a single gene; genetic load is the number of genes in an organism.'
 'Gene pool refers to a single gene; balanced polymorphism refers to a dominance of one gene; genetic load refers to the genetic burden of an organism.'
 'Gene pool is the total number of alleles in a population; balanced polymorphism is the maintenance of two or more alleles at a locus by natural selection; genetic load is the proportion of individuals in a population with genetic defects.'
 'Gene pool is the diversity of genes in a population; balanced polymorphism is the dominance of a single gene; genetic load is the genetic capacity of an organism.'
 'Gene pool is the sum of all genetic variations in a closed environment; balanced polymorphism is the equal representation of all alleles in a population; genetic load is the accumulated genetic mutations in a population.'
 'Gene pool is the set of all genetic traits in a biological community; balanced polymorphism is when one allele is favored over others; genetic load is the genetic contribution of an organism to its offspring.']",C,2,,biology,stemez-Biology
2941,"In plants, which tissue is responsible for new growth?","['Apical tissue' 'Sclerenchyma tissue' 'Ground tissue' 'Vascular tissue'
 'Cork tissue' 'Collenchyma tissue' 'Periderm tissue' 'Parenchyma tissue'
 'Epidermal tissue' 'Meristematic tissue']",J,9,,biology,stemez-Biology
2807,"In reference to a segment of DNA, which of the following molecules contains the fewest number of nucleotides?","['the tRNA transcript from the original DNA'
 'a single strand of the original DNA segment after a substitution mutation'
 'the final processed mRNA made from the original DNA'
 'the primary RNA transcript (after splicing) from the original DNA'
 'a single strand of the original DNA segment after a duplication mutation'
 'the primary RNA transcript (before splicing) from the original DNA'
 'a single strand of the original DNA segment after a deletion mutation'
 'a single strand of the original DNA segment'
 'a single strand of complementary DNA (cDNA) made from the original DNA'
 'a single strand of the original DNA segment after a point mutation']",I,8,,biology,ori_mmlu-high_school_biology
3514,Briefly discuss some abnormalities of the respiratory tract.,"['Migraines, epilepsy, and multiple sclerosis'
 'Gastroesophageal reflux disease (GERD), irritable bowel syndrome (IBS), and peptic ulcers'
 'Diabetes, hypertension, and stroke'
 'Tuberculosis, infections, allergic reactions such as hay fever and allergic asthma, lung cancer, emphysema, and respiratory distress syndrome are some abnormalities of the respiratory tract.'
 'Arthritis, osteoporosis, and gout'
 'Kidney stones, gallstones, and hernias'
 'Myocardial infarction, angina, and heart failure'
 'Anemia, leukemia, and lymphoma' 'Psoriasis, eczema, and acne']",D,3,,biology,stemez-Biology
2952,How do bacteria develop drug resistance?,"['Antibiotic resistance arises from bacteria absorbing nutrients that counteract the drug'
 'Resistance develops due to prolonged exposure to antibiotics'
 'Bacteria develop a natural immunity to drugs over time'
 'Bacteria develop resistance through spontaneous generation without exposure to antibiotics'
 'Drug resistance is caused solely by the use of antibacterial hand sanitizers'
 'Bacteria communicate with each other to share resistance traits'
 'Resistance is a result of antibiotics triggering the immune system to protect bacteria'
 'Most antibiotic resistant bacteria result from genetic changes and subsequent selection due to chromosomal mutations or the introduction of extra chromosomal elements.'
 'Drug resistance is passed on from parent bacteria to offspring'
 'Drug resistance occurs when bacteria mutate due to exposure to non-antibiotic chemicals only']",H,7,,biology,stemez-Genetics
3369,Describe the various land biomes that are usually encounteredby a traveler going from the equator to the arcticpolar ice cap.,"['Tropical rain forests, savannas, and tundra'
 'Tropical rain forests, deserts, and polar ice caps only'
 'Tundra, desert regions, and tropical rain forests'
 'Taiga biome, grasslands, and deserts'
 'Deciduous forests, tundra, and savannas'
 'Deciduous forests, grasslands, and tropical savannas'
 'Savannas, taiga biome, and polar ice caps'
 'Chaparral, wetlands, and taiga biome'
 'Tropical rain forests, montane forests, and arctic tundra'
 'The various land biomes encountered while traveling from the equator to the arctic polar ice cap are tropical rain forests, grassland biomes, deciduous forests, taiga biome, tundra, and desert regions.']",J,9,,biology,stemez-Biology
2906,Explain what difficulties would arise if messenger RNA molecules were not destroyed after they had produced some polypeptide chains.,"['mRNA would replicate rapidly'
 'The cell would use mRNA as a source of energy'
 'The cell would lack proteins'
 'Cell would enter a state of permanent division'
 'mRNA would be transformed into DNA'
 'Excess protein production, energy depletion, and potential harm to the cell'
 'mRNA would exit the cell and infect neighboring cells'
 'Proteins would be broken down into mRNA'
 'mRNA would become part of the cell membrane'
 'mRNA would bind to lipids and carbohydrates, disrupting cellular metabolism']",F,5,,biology,stemez-Biology
2919,"Within a cell, the amount of protein synthesized using a given mRNA molecule depends in part on which of the following?","['The amount of protein synthesized is determined by the rate of cell division.'
 'The age of the cell will determine how much protein is synthesized.'
 'The amount of protein synthesized is determined by the amount of DNA replication.'
 'The location and number of ribosomes in a cell will solely determine how much protein is synthesized.'
 'The type of cell will solely determine how much protein is synthesized.'
 'DNA methylation suppresses the expression of genes.'
 'The size of the nucleus will determine how much protein is synthesized.'
 'The number of chromosomes in a cell determines how much protein is synthesized.'
 'Transcription factors mediate the binding of RNA polymerase and the initiation of transcription, which will determine how much protein is manufactured.'
 'The speed with which mRNA is degraded will determine how much protein is synthesized.']",J,9,,biology,ori_mmlu-high_school_biology
3079,"What are some advantages of doing genetics in bacteria and yeastinstead of in larger organisms (i.e.,multicellular eukaryotes)?","['Bacteria and yeast are more complex organisms.'
 'Bacteria and yeast have longer life cycles, allowing for extended study over time.'
 'Bacteria and yeast can perform more complex behaviors than multicellular organisms, which makes them better for study.'
 'Bacteria and yeast have larger genomes, providing more genetic material to work with.'
 'Bacteria and yeast are less susceptible to genetic diseases, making them more stable for experimentation.'
 'Bacteria and yeast have a slower rate of mutation.'
 'Bacteria and yeast do not require ethical considerations when used in experiments.'
 'Bacteria and yeast grow quickly, inexpensively, in a small space and have a high probability of mutation. Prokaryotes are haploid, making single inactivation more likely. Yeast are eukaryotic, closely related to multicellular animals and plants, and can be grown in either the haploid or diploid state.'
 'Bacteria and yeast have a lower rate of genetic recombination, making genetic mapping simpler.'
 'Bacteria and yeast are easier to maintain in a lab.']",H,7,,biology,stemez-Genetics
3422,"If a living frog muscle is dissected out from a frog's body and placed in a closed container without oxygen, it can contract for a time when stimulated. Then it stops. But if the container is opened, it soon regains the ability to contract. Comment.","['The muscle cells contract due to the presence of carbon dioxide.'
 'The muscle contracts because of the decrease in temperature when the container is opened.'
 'The muscle cells are reanimated by the light entering the container when it is opened.'
 'The muscle cells contract due to the release of lactic acid in the absence of oxygen.'
 'The muscle cells require the presence of an inert gas, such as argon, to contract.'
 'The muscle cells need nitrogen to contract.'
 'The muscle cells contract due to the introduction of water.'
 'The presence of oxygen enables the muscle cells to undergo aerobic respiration and produce more ATP, regaining its ability to contract.'
 'Muscle contraction is restored due to increased humidity within the container.'
 'The muscle cells contract because of the introduction of a new energy source when the container is opened.']",H,7,,biology,stemez-Biology
2905,Discuss the adaptations for land life evident in the bryophytes.,"['Bryophytes have adaptations such as rhizoids, cutinized epidermis, porous surface, and a reproductive style in which the embryo is protected within the female gametophyte.'
 'Bryophytes have adaptations such as a strong root system and the ability to produce flowers'
 'Bryophytes have adaptations such as the development of vascular tissues and seeds.'
 'Bryophytes have adaptations such as leaves and roots similar to other land plants'
 'Bryophytes have adaptations such as thick bark and deep taproots for drought resistance.'
 'Bryophytes have adaptations such as a waxy cuticle to prevent water loss and guard cells for gas exchange.'
 'Bryophytes have adaptations such as the ability to survive without water and sunlight'
 'Bryophytes have adaptations such as true leaves, stems, and roots that allow for a tree-like growth form.'
 'Bryophytes have adaptations such as symbiotic relationships with mycorrhizal fungi to enhance nutrient uptake.'
 'Bryophytes have adaptations such as the ability to produce wood and secondary growth.']",A,0,,biology,stemez-Biology
2961,"The teeth of different species of vertebrates are special-ized in a variety of ways and may be quite unlike those of man in number , structure, arrangement, and function. Give examples .","['Snakes have thin, sharp teeth for capturing prey; carnivorous mammals like cats and dogs have pointed teeth for cutting and shearing; herbivorous animals like cows and horses have large, flat teeth for breaking up plant cell walls.'
 'Fish have teeth adapted for chewing and grinding similar to humans'
 'Only carnivorous animals have specialized teeth'
 'Snakes have large, flat teeth for grinding food'
 'Birds have well-developed teeth for tearing meat'
 'Insectivorous mammals have large, flat teeth for grinding plants'
 'Rodents have fangs for injecting venom into prey'
 'All vertebrates have the same number of teeth'
 'Amphibians have teeth specialized for filter-feeding like some whales'
 'All vertebrates have similarly structured teeth']",A,0,,biology,stemez-Biology
3010,How are the variable portions of heavy chains combined to create diversity in the antibody sequences?,"['Only two DNA regions, V and D, combine in heavy chains'
 'V, D, and JH regions are combined in light chains'
 'V and JH regions are combined, while D regions are excluded from heavy chains'
 'Five separate DNA regions are combined in heavy chains, adding extra complexity'
 'D and JH regions are combined, while V regions are excluded from heavy chains'
 'Four separate DNA regions are combined in heavy chains'
 'V, DH, and J regions combine in heavy chains, introducing an incorrect region name'
 'Three separate DNA regions, V, D, and JH, must be combined in heavy chains'
 'A single DNA region undergoes rearrangement to create diversity in heavy chains'
 'V, D, JH, and CH regions are all combined in heavy chains']",H,7,,biology,stemez-Genetics
3455,Explain the types and effects of competition.,"['Competition is the active demand of two or more organisms for a common vital resource. It can be categorized into Contest competition and Scramble competition.'
 'Competition is a cooperative interaction where organisms work together to maximize resource use.'
 'Competition only involves physical confrontation.'
 'Competition is solely determined by the availability of water resources.'
 'Competition is an interaction that only occurs within a species, known as Intraspecific competition.'
 'Competition can be categorized into Predation competition and Mutualism competition.'
 'Competition is a natural process that always results in the extinction of one species.']",A,0,,biology,stemez-Biology
3445,The ability of the brain to detect differences in stimulus intensity is best explained by the fact that which of the following varies with the stimulus intensity?,"['The number of synapses crossed' 'The speed of the action potential'
 'The amplitude of the action potential' 'The number of neurons activated'
 'The refractory period of the neuron'
 'The number of action potentials per second'
 'The duration of the action potential'
 ""The permeability of the neuron's membrane""
 'The resting potential of the neuron' 'The threshold potential']",F,5,,biology,ori_mmlu-college_biology
3248,What are the chief differences between plant andanimal cells?,"['Animal cells have larger vacuoles than plant cells'
 'Animal cells have a rigid cellulose wall'
 'Animal cells contain chloroplasts'
 'Plant cells are typically smaller than animal cells'
 'Animal cells can perform photosynthesis, while plant cells cannot'
 'Plant cells contain a single large mitochondrion, while animal cells have many small ones'
 'Animal cells have a central vacuole, while plant cells do not'
 'Plant cells have centrioles, while animal cells do not'
 'Plant cells have a rigid cellulose wall, large central fluid sap, contain chloroplasts, and undergo a different process of cell division as compared to animal cells.'
 'Both plant and animal cells have a rigid cellulose wall']",I,8,,biology,stemez-Biology
2890,"In peas, tall (D) is dominant to dwarf (d), yellow (G) is dominant to green (g), and round (W) is dominant to wrinkled (w). What fraction of the offspring of this cross would be homozygous recessive in all gene pairs? GgDdww×GgddWw",['1/4' '3/16' '1/64' '1/2' '1/16' '1/8' '1/3' '3/32' '1/32' '1/128'],E,4,,biology,stemez-Genetics
3482,What is the evidence for the theory that theneurilemma sheathplays a role in the regeneration of severed nerves?,"['The role the neurilemma sheath plays in regeneration is to provide a channel for the axon to grow back to its former position. The severed axon is able to regenerate normally within the substituted conduit.'
 ""The neurilemma sheath's primary role is to provide nutrients to the regenerating axon, not to guide it""
 'The neurilemma sheath hinders the growth of the axon'
 'The neurilemma sheath degenerates and is consumed by macrophages, aiding in axon regrowth'
 'The neurilemma sheath secretes growth-inhibiting proteins that prevent axon regeneration'
 'The neurilemma sheath prevents the axon from regenerating'
 'The neurilemma sheath contracts upon nerve severance, actively blocking the path of the regrowing axon'
 'The neurilemma sheath dissolves after nerve severance, thus playing no role in regeneration'
 'The neurilemma sheath is replaced by scar tissue which facilitates the axon regeneration'
 'The neurilemma sheath has no significant role in nerve regeneration']",A,0,,biology,stemez-Biology
3381,"An eager AP Biology student interested in studying osmosis and the movement of water in solutions took a dialysis bag containing a 0.5 M solution and placed it into a beaker containing a 0.6 M solution. If this bag were instead placed into a beaker of distilled water, what would be the expected result?","['The bag will expand and eventually burst due to the pressure of water flow.'
 'The solute will flow into the dialysis bag from the beaker.'
 'The bag will remain the exact same size because no water will move at all.'
 'The bag will shrink in size and the beaker will overflow due to the movement of water.'
 'The solute will flow out of the dialysis bag into the beaker.'
 'The water will evaporate from the bag, leaving only the solute.'
 'There will be a net flow of water into the bag, causing it to swell in size.'
 'There will be a net flow of water out of the beaker, causing it to decrease in size.'
 'The water in the bag will freeze due to the change in environment.'
 'There will be a net flow of water out of the bag, causing it to decrease in size.']",G,6,,biology,ori_mmlu-high_school_biology
3300,One group of compounds that may become quite important in birth control is the prostaglandins. What are the advantages of prostaglandins in birth control?,"['Prostaglandins are used to enhance mood and have no effect on birth control.'
 'Prostaglandins increase fertility by promoting ovulation.'
 'Prostaglandins are able to prevent pregnancy by altering the DNA of the sperm and egg.'
 'Prostaglandins are known to mediate hormonal action'
 'Prostaglandins are non-hormonal, reducing the risk of hormonal side effects.'
 'Prostaglandins can be taken orally once a month, providing long-term birth control.'
 'Prostaglandins are cyclic, oxygenated, 20-carbon fatty acids'
 'Prostaglandins induce strong contractions in the uterus, prevent the fertilized ovum from being implanted, and can be introduced directly into the uterus, making them potentially safer contraceptives than oral chemical agents.'
 'Prostaglandins improve skin condition and are used as a beauty supplement.'
 'Prostaglandins are efficient in treating nasal congestion']",H,7,,biology,stemez-Biology
2969,We know that radiation and chemicals can cause cancer. Can viruses be a cause of cancer?,"['Only radiation can cause cancer' 'Only chemicals can cause cancer'
 'Only inherited genetics can cause cancer'
 'Only lifestyle factors such as diet and exercise can cause cancer'
 'Yes, viruses can be a cause of cancer' 'No, viruses cannot cause cancer'
 'Viruses can increase the risk but are not a direct cause of cancer'
 'Yes, but only bacteria, not viruses, can be a cause of cancer']",E,4,,biology,stemez-Biology
3505,How can you determine whether or not a given populationis ingenetic equilibrium?,"['Measure the physical characteristics of the population'
 'Compare the population to a different species'
 ""Compare the population's disease resistance to other populations""
 'Check for the presence of natural selection'
 'Compare gene frequencies and genotype frequencies over two generations'
 ""Analyze the population's fossil record""
 'Observe the mating behaviors within the population for one generation'
 ""Examine the population's age distribution and life expectancy rates""
 ""Monitor changes in the population's climate and environment""
 ""Study the population's migration patterns""]",E,4,,biology,stemez-Genetics
2870,"Nerve outgrowth from a developing neuron begins at the growth cone, located at the tip of the axon. Microspikes of the growth cone extend and retract in order to move the growth cone forward. Exposure of the neuron to cytochasalin B at this stage of development causes","['microtubules in the growth cone to undergo reversible dissociation'
 'microtubules in the axon to undergo irreversible dissociation'
 'microfilaments in the growth cone to undergo irreversible depolymerization'
 'microfilaments in the axon to undergo reversible depolymerization'
 'microfilaments in the microspike to undergo reversible depolymerization'
 'microtubules in the microspike to undergo irreversible depolymerization'
 'microfilaments in the axon to undergo irreversible depolymerization'
 'microtubules in the microspike to undergo reversible depolymerization'
 'microfilaments in the microspike to undergo irreversible depolymerization'
 'microtubules in the axon to undergo reversible dissociation']",E,4,,biology,ori_mmlu-college_biology
3311,How can radioactive isotopes be used in biological research such as tracing the pathways of compounds synthesized in the living cell?,"['Radioactive isotopes can be used to change the color of cells, making them easier to observe under a microscope.'
 'Radioactive isotopes serve as catalysts to accelerate biochemical reactions without being consumed.'
 'Radioactive isotopes are used to enhance the flavor of food during sensory biological research.'
 'Radioactive isotopes are used to kill harmful bacteria in biological research.'
 'Radioactive isotopes are used as a nutrient source for cells in culture.'
 'Radioactive isotopes can be used in biological research by labeling substances to study specific metabolic pathways, determining the rates of metabolic processes in organisms, and tracking the course of complex reactions.'
 'Radioactive isotopes are used to purify water by removing toxins in biological research settings.'
 'Radioactive isotopes can be used to generate energy for biological processes.'
 'Radioactive isotopes are used to create visible light for studying biological processes.'
 'Radioactive isotopes are used to increase the speed of genetic mutations for faster evolutionary studies.']",F,5,,biology,stemez-Biology
3414,How do higher plants get rid of their waste products?,"['Plants expel waste by excreting it through flowers'
 'Plants dispose of waste by burying it in the soil'
 'Plants filter waste through their root system, purifying it before releasing it back into the soil'
 'Plants convert all waste into oxygen through photosynthesis'
 'Plants get rid of their waste products through diffusion via the pores of the leaves or root cells into the soil, and by shedding leaves.'
 'Plants get rid of waste by converting it into energy'
 'Plants transport waste to their stem where it crystallizes and is stored'
 'Plants eliminate waste through burning it'
 'Plants release waste products into the air as smoke']",E,4,,biology,stemez-Biology
